商品代码,说明,市场价值,员工数量,部门,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),RSI(14)
600358,国旅联合,1701636540,164,金融,SSE,金融集团,0.32229771,8475,0.10423239,11.7777855,47.74114999
300838,浙江力诺,2304145886,645,制造业,SZSE,工业机械,0.02459956,33.08226922,11.9723712,3.01998142,47.74292625
002342,巨力索具,4012799835,2205,制造业,SZSE,金属加工,0.45480244,120.73863636,1.37643962,1.65850422,47.74483659
600158,中体产业,11005615072,1790,金融,SSE,房地产开发,0.13969094,310.52631579,1.48482084,4.53605394,47.74608617
002729,好利来,3034606702,600,制造业,SZSE,电子设备,0.0433977,207.27190154,3.39192543,7.35785723,47.74665258
300652,雷迪克,1728251815,748,制造业,SZSE,汽车零件：OEM,0.19395123,25.57219554,7.05745189,1.77447153,47.750993
600105,永鼎股份,4984980968,4148,电子科技,SSE,电信设备,0.65024469,,-12.35593293,1.85652871,47.75773755
688027,国盾量子,15984000244,367,电子科技,SSE,电信设备,0,640.04506272,1.88268561,9.52656393,47.76450645
300542,新晨科技,3651119211,1803,科技服务,SZSE,IT服务,0.06809861,48.73817035,11.29070982,5.40117725,47.77520931
002029,七 匹 狼,4190697459,2561,非耐用消费品,SZSE,服装/鞋类,0.28947462,13.14575646,5.28439548,0.68426878,47.79259004
603200,上海洗霸,2295655592,910,加工制造业,SSE,化学品：多元化,0.21887821,93.89506054,3.04967456,2.91507758,47.7970116
300470,中密控股,7971809461,1080,制造业,SZSE,工业机械,0.01464315,32.6677844,13.62730559,4.89245138,47.80106245
600187,国中水务,3743972109,716,工业服务,SSE,环境服务,0.06981483,1261.11111111,0.08730781,1.06975056,47.80297493
300098,高新兴,7872153022,3274,电子科技,SZSE,电子元器件,0.2549619,,-28.72967787,2.38503194,47.80566898
600789,鲁抗医药,6645734677,6170,健康科技,SSE,仿制药,0.84644485,25.09043078,8.57472181,2.08967242,47.80690875
600257,大湖股份,2887423096,1777,加工制造业,SSE,农副产品,0.5657309,1008.33333333,0.24875118,2.50234724,47.8107584
002387,维信诺,13676630859,5745,商业服务,SZSE,杂项商业服务,0.39516322,3853.84615385,0.02439395,0.90205582,47.81662628
000584,哈工智能,5090672327,994,加工制造业,SZSE,纺织品,0.38437558,,0.15795567,2.09404814,47.8199356
002372,伟星新材,32311743222,4572,制造业,SZSE,杂项制造,0.00219968,26.32258065,28.89527852,7.42328364,47.82852351
300601,康泰生物,97067379916,2043,健康科技,SZSE,生物科技,0.05198828,149.99519517,13.54372791,14.3529815,47.83513518
300094,国联水产,3724063571,4463,加工制造业,SZSE,农副产品,0.76083698,,-10.63633523,1.8533492,47.84352478
300668,杰恩设计,1329657000,771,商业服务,SZSE,杂项商业服务,0.06054248,98.78971256,2.90199162,2.91312378,47.84720224
300801,泰和科技,4142880065.999999,606,加工制造业,SZSE,化学品：多元化,0.06856569,21.89772461,10.15174034,2.15810706,47.86257392
000059,华锦股份,10396376282,8332,加工制造业,SZSE,化学品：特种,0.80466429,5.86564018,13.01512021,0.75624731,47.86648172
601995,中金公司,184614782106.46365,9372,金融,SSE,投资银行/经纪商,3.6776648,33.11610878,13.13589462,3.82863077,47.86831747
603833,欧派家居,86316824710,20022,耐用消费品,SSE,家居装修,0.30536156,35.56152392,22.21756818,7.21307837,47.88491773
002066,瑞泰科技,2157540035,2862,加工制造业,SZSE,特种工业品,1.5197531,,5.23332904,4.57932885,47.90357823
600161,天坛生物,48637844744,3592,健康科技,SSE,生物科技,0.13450222,70.33510853,15.07633198,10.25666628,47.9040498
002420,毅昌股份,1776429931,2440,商业服务,SZSE,商业印刷/表格,1.27218826,22.27272727,14.34014631,3.11493473,47.90421727
603556,海兴电力,6059681674,3376,电子科技,SSE,电子设备/仪器,0.09913652,13.54669465,8.71698096,1.17153931,47.90477959
600072,中船科技,8415336329,1609,制造业,SSE,杂项制造,0.42111451,60.47966632,3.61732151,2.1766951,47.90967796
601611,中国核建,18967790316,37216,工业服务,SSE,工程建设,2.94844012,13.55517955,13.88787015,1.60687144,47.92273056
300122,智飞生物,272000000000,3380,健康科技,SZSE,药品：其他,0.4137847,76.16244091,48.19432195,34.37741251,47.92741128
603616,韩建河山,1616413586,596,非能源矿业,SSE,建筑材料,0.56191537,37.66145479,6.01287671,2.17302623,47.930079
300829,金丹科技,9361518260,1019,加工制造业,SZSE,化学品：特种,0.04492023,55.4394581,12.32467298,4.69562583,47.93270801
601199,江南水务,3488334538,961,公用事业,SSE,供水,0.27344926,13.37209302,8.47285423,1.1182929,47.93712317
002474,榕基软件,3807864004,960,科技服务,SZSE,IT服务,0.3791663,52.91557876,4.57292297,2.39226919,47.94763903
000552,靖远煤电,6407078991,12391,能源矿产,SZSE,煤炭,0.28857617,13.81709742,5.61133499,0.76055614,47.94979218
002490,山东墨龙,3369808377.547546,2890,制造业,SZSE,卡车/建筑/农业机械,1.38774939,,-0.18561291,2.04756443,47.95165153
300187,永清环保,4324596253,837,工业服务,SZSE,工程建设,0.76530278,119.68085106,2.40068643,3.01268004,47.95211478
600468,百利电气,4394450779,2049,制造业,SSE,工业机械,0.14743697,38.75114784,6.69218536,2.53156963,47.96836339
300277,海联讯,2807300038,148,科技服务,SZSE,IT服务,0.020498,121.81303116,4.93537314,5.95122761,47.97427292
603139,康惠制药,1654012701,742,健康科技,SSE,药品:专业,0.45587478,46.03087376,3.62033472,1.65519767,47.99699853
603138,海量数据,3221950406,370,科技服务,SSE,IT服务,0.01300209,89.87252125,7.00908729,6.21206188,47.99917747
600433,冠豪高新,6088571322,1545,加工制造业,SSE,纸浆&纸,0.22939427,33.01630435,6.6260943,2.15271903,48.01666115
002703,浙江世宝,3465169299.6206303,1680,制造业,SZSE,汽车零件：OEM,0.13896757,67.45049505,4.79452762,3.2052036,48.02821972
900910,海立B股,7817803404.5776,6656,制造业,SSE,工业机械,0.99909187,17.29255349,3.85070067,0.64223574,48.05072351
603089,正裕工业,2000254373,2645,制造业,SSE,汽车零件：OEM,0.22720553,12.89228159,16.20096258,2.00436036,48.05104041
002921,联诚精密,1593290838,1747,制造业,SZSE,金属加工,0.47113256,18.58777217,10.62339995,1.84443064,48.0530894
600422,昆药集团,6890171756,5572,健康科技,SSE,药品：其他,0.17876336,12.5372326,12.52176884,1.57761759,48.06674538
300071,*ST嘉信,1389769831,922,商业服务,SZSE,广告/市场营销服务,-1.2549205,,,,48.08119904
300478,杭州高新,1165391544,269,加工制造业,SZSE,特种工业品,3.53887147,,-122.0591967,17.6654953,48.09036487
900912,外高B股,13667917913.043798,2815,金融,SSE,房地产开发,1.49657045,7.50725029,8.78404555,0.63532701,48.09728985
603111,康尼机电,5184897649,3356,制造业,SSE,建筑产品,0.34692392,11.85520362,15.3164549,1.75336452,48.099753
000055,方大集团,3893211093.168945,2245,制造业,SZSE,建筑产品,0.57361103,12.91567696,6.760858,0.86814218,48.12476855
003025,思进智能,2854166568,310,制造业,SZSE,工业机械,0,,15.27030135,3.42166213,48.12563315
000428,华天酒店,2873371324,3845,消费者服务,SZSE,酒店/度假村/游轮,1.61546442,,-21.79224579,1.38422183,48.13515658
603701,德宏股份,2183412985,429,制造业,SSE,汽车零件：OEM,0.05920122,29.92805755,9.6149305,3.03930271,48.13989619
600332,白云山,46155907731.16518,25168,健康科技,SSE,药品:专业,0.45536209,14.93223621,12.640481,1.91837605,48.15345741
002355,兴民智通,3704805296,2393,制造业,SZSE,汽车零件：OEM,0.33520082,,-12.09566158,1.49939418,48.16090322
002613,北玻股份,3298838322,2064,加工制造业,SZSE,特种工业品,0.01219053,325,0.66802309,2.1727423,48.17143049
600300,ST维维,5837883160,3212,非耐用消费品,SSE,食品：多元化,0.71177224,14.3593812,14.59046294,1.96986434,48.18237932
600530,交大昂立,2495242367,893,健康科技,SSE,药品:专业,0.32552778,27.04778157,11.31068401,2.94226842,48.18712132
688058,宝兰德,3341600037,416,科技服务,SSE,套装软件,0,51.77095027,6.77541058,3.42316113,48.1933565
603033,三维股份,9480920389,2907,制造业,SSE,金属加工,0.58602596,36.30263767,8.69785126,3.12644466,48.20996359
002063,远光软件,9485791068,4923,科技服务,SZSE,套装软件,0.00359657,36.70186023,10.24631361,3.65197206,48.22121763
002286,保龄宝,3832877446,1122,制造业,SZSE,工业机械,0.46792115,88.26446281,2.79927171,2.4657724,48.25264282
600562,国睿科技,18044195103,1343,制造业,SSE,工业集团,0.05214123,32.56497175,17.84688794,4.14749064,48.26681435
601766,中国中车,158711304917.53946,164177,制造业,SSE,卡车/建筑/农业机械,0.36202575,14.76938175,8.48511764,1.20798151,48.26842392
600704,物产中大,30448749541,18549,配送服务,SSE,批发分销商,1.5165382,9.5600397,12.34704165,1.17592009,48.27693199
