商品代码,说明,市场价值,员工数量,板块,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),aboveMa1,aboveMa2,maxChange
OSIIF,OSINO RESOURCES CORPORATION,131320000.0,,非能源矿业,OTC,其他金属/矿物,0.00878914,,-106.88025604,7.60755451,-1,-1,-1
GENMF,GENERATION MINING LIMITED,131256978.5,,非能源矿业,OTC,贵金属,0.01560974,,-63.93128929,11.49872777,-1,-1,-1
FAT,FAT BRANDS INC,130733355.0,179.0,消费者服务,NASDAQ,餐厅,-2.32971301,,,,79,17,265
ERH,WELLS FARGO UTILITIES & HIGH INC FD,130173000.0,,其他,NYSE ARCA,投资信托/互惠基金,0.19770519,1056.39097744,0.10661782,1.17075041,75,78,26
SWZ,SWISS HELVETIA FUND,126254000.0,,其他,NYSE,投资信托/互惠基金,0.0,7.38843617,12.75654998,0.91119225,99,74,32
TGODF,GREEN ORGANIC DUTCHMAN HOLDINGS LTD.,125765508.0,,加工制造业,OTC,农副产品,0.28440882,,-52.33961969,1.33725571,24,0,180
PDEX,PRO-DEX INC,125175917.80000004,117.0,健康服务,NASDAQ,医疗/护理服务,0.75137201,21.84466019,32.7042351,6.74775974,89,83,150
CPKF,"CHESAPEAKE FINANCIAL SHARES, INC.",124619418.0,,金融,OTC,金融集团,0.45218949,9.24669761,12.02680858,1.01953412,63,42,46
DEX,DELAWARE ENHANCED GLOBAL DIV & INC,123912000.0,,其他,NYSE,投资信托/互惠基金,0.36847669,57.94497473,1.65463703,0.99224091,82,75,39
EMPR,EMPIRE PETROLEUM CORP.,123659185.0,11.0,能源矿产,OTC,石油和天然气生产,-0.74330992,,,,96,24,1813
FATBP,FAT BRANDS INC 8.25% CUM PREF STK SER B,123273000.0,179.0,消费者服务,NASDAQ,餐厅,-2.32971301,,,,-1,-1,-1
TACT,TRANSACT TECHNOLOGIES INC,122738242.6,112.0,电子科技,NASDAQ,计算机外围设备,0.1992737,,-25.41026212,4.04682501,64,63,302
GNT,GAMCO NATURAL RES GOLD & INCOM TR,121679000.0,,其他,NYSE,投资信托/互惠基金,0.0,27.49173359,3.75344013,0.98137413,80,74,39
RNDB,RANDOLPH BANCORP INC,121029775.74,208.0,金融,NASDAQ,储蓄银行,0.59512785,4.48288034,27.65286545,1.18863317,65,35,149
