商品代码,说明,市场价值,员工数量,板块,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),aboveMa1,aboveMa2,maxChange
3818,CHINA DONGXIANG,5569920000.0,327.0,非耐用消费品,HKEX,服装/鞋类,0.02537082,3.88548057,11.71739277,0.4803414,-1,-1,-1
480,HKR INT'L,5569880000.0,1719.0,金融,HKEX,房地产开发,0.26238172,4.3548949,5.72442638,0.25240322,-1,-1,-1
6958,ZHENRO SERVICES,5561000000.0,4635.0,金融,HKEX,房地产开发,0.02753398,28.31484416,22.1518204,3.43973406,-1,-1,-1
1569,MINSHENG EDU,5525210000.0,5584.0,商业服务,HKEX,杂项商业服务,0.45682467,36.38888889,3.13264007,1.15473441,-1,-1,-1
2231,JY GRANDMARK,5448820000.0,,金融,HKEX,房地产开发,0.73785501,9.95788207,16.48037653,1.51411189,-1,-1,-1
1881,REGAL REIT,5374760000.0,,金融,HKEX,房地产投资信托基金,0.84323527,,-17.3656874,0.45049227,-1,-1,-1
3600,MODERN DENTAL,5332310000.0,5838.0,健康科技,HKEX,医学专业,0.45430325,49.46714032,5.04924351,2.37956903,-1,-1,-1
1349,FUDANZHANGJIANG,5308870000.0,628.0,健康科技,HKEX,药品：其他,0.00905138,24.13466098,12.87382328,2.22665512,-1,-1,-1
732,TRULY INT'L,5295660000.0,16000.0,其他,HKEX,其他,0.60182957,10.54354944,5.76416926,0.565059,-1,-1,-1
329,OCI INTL,5249130000.0,,健康科技,HKEX,药品：其他,0.86875056,,-5.39574846,,-1,-1,-1
251,SEA HOLDINGS,5221400000.0,133.0,金融,HKEX,房地产开发,1.68012685,35.40940767,2.41722995,0.83668143,-1,-1,-1
468,GAPACK,5079190000.0,1673.0,加工制造业,HKEX,容器/包装,0.08551844,13.16701317,13.54243661,1.71923919,-1,-1,-1
1760,INTRON TECH,5062420000.0,921.0,制造业,HKEX,汽车零件：OEM,0.35709011,45.38386783,7.30755442,3.15849988,-1,-1,-1
3329,BOCOM INTL,5031280000.0,,金融,HKEX,投资银行/经纪商,1.77494977,5.96627756,12.18875861,,-1,-1,-1
1330,DYNAGREEN ENV,5030320000.0,2636.0,工业服务,HKEX,环境服务,1.61747253,6.7025622,12.97995759,0.7731335,-1,-1,-1
1902,YINCHENG INTL,5026210000.0,,金融,HKEX,房地产开发,2.31041735,24.63054187,6.73773178,,-1,-1,-1
906,COFCO PACKAGING,5021040000.0,,加工制造业,HKEX,容器/包装,0.78770255,12.14543579,7.48421,,-1,-1,-1
451,GCL NEWENERGY,5015540000.0,,电子科技,HKEX,电子元器件,3.41598003,,-23.78261284,,-1,-1,-1
315,SMARTONE TELE,5010570000.0,1898.0,通讯,HKEX,无线通讯设备,0.52460985,13.28424153,7.47159434,1.00565262,-1,-1,-1
1709,DL HOLDINGS GP,4985930000.0,42.0,非耐用消费品,HKEX,服装/鞋类,0.03620768,74.375,27.15875647,26.26738283,-1,-1,-1
6118,AUSTAR,4951540000.0,,制造业,HKEX,工业机械,0.17689783,132.51028807,6.40030308,,-1,-1,-1
98,XINGFA ALUM,4935530000.0,,非能源矿业,HKEX,铝业,0.74523524,5.70460048,22.24252383,1.12348513,-1,-1,-1
26,CHINA MOTOR BUS,4929520000.0,,金融,HKEX,房地产开发,0.0,,-1.50670102,0.58731292,-1,-1,-1
419,HUAYI TENCENT,4926810000.0,335.0,消费者服务,HKEX,其他消费者服务,0.08723886,,-7.02869048,6.3445159,-1,-1,-1
1611,HUOBI TECH,4859180000.0,622.0,电子科技,HKEX,电子元器件,1.88977947,94.72422062,33.65393685,37.42302226,-1,-1,-1
38,FIRST TRACTOR,4809200000.0,7506.0,制造业,HKEX,卡车/建筑/农业机械,0.4993275,8.37737326,9.80025426,0.82033983,-1,-1,-1
2181,MABPHARM-B,4783930000.0,,商业服务,HKEX,杂项商业服务,0.04577276,,-18.80157954,4.57738142,-1,-1,-1
1588,CHANJET,4778000000.0,1000.0,科技服务,HKEX,IT服务,0.00466235,127.16763006,2.5194087,3.18291181,-1,-1,-1
32,CROSS-HAR(HOLD),4777860000.0,,消费者服务,HKEX,其他消费者服务,0.01292695,6.58787256,8.81296615,,-1,-1,-1
2100,BAIOO,4714770000.0,,科技服务,HKEX,互联网软件/服务,0.05081735,15.60344828,16.29694916,,-1,-1,-1
3318,CHINA BOTON,4646190000.0,1212.0,加工制造业,HKEX,化学品：特种,0.50111892,35.7439734,4.58005716,1.43816557,-1,-1,-1
1576,QILU EXPRESSWAY,4620000000.0,,工业服务,HKEX,工程建设,1.15078066,6.55505108,18.35957481,,-1,-1,-1
1681,CONSUN PHARMA,4599570000.0,2583.0,健康科技,HKEX,药品：其他,0.21832483,8.35755814,23.12146762,1.7471893,-1,-1,-1
1164,CGN MINING,4554470000.0,15.0,非能源矿业,HKEX,其他金属/矿物,0.96722001,29.36170213,7.81693455,2.24682514,-1,-1,-1
8137,HONBRIDGE,4527900000.0,261.0,其他,HKEX,其他,0.08942134,3.91414141,24.16825268,0.92968391,-1,-1,-1
3700,INKE,4486590000.0,,科技服务,HKEX,IT服务,0.04493456,20.61946903,5.44249781,,-1,-1,-1
678,GENTING HK,4410900000.0,,消费者服务,HKEX,酒店/度假村/游轮,1.24530422,,-43.71931453,,-1,-1,-1
1122,QINGLING MOTORS,4393610000.0,2980.0,耐用消费品,HKEX,机动车,0.00780953,12.90087464,3.83251738,0.48340316,-1,-1,-1
1967,CONFIDENCE IN,4385000000.0,,电子科技,HKEX,电子生产设备,0.06997544,329.69926692,4.05172159,12.92585761,-1,-1,-1
1277,KINETIC M&E,4383600000.0,,能源矿产,HKEX,煤炭,0.07624324,4.77502296,31.66526438,,-1,-1,-1
818,HI SUN TECH,4359620000.0,2475.0,科技服务,HKEX,IT服务,0.00839858,7.62506071,12.83952843,0.78664409,-1,-1,-1
1857,CEB WATER,4358935099.135491,2231.0,工业服务,HKEX,环境服务,0.97229757,4.05323969,10.987149,0.41008352,-1,-1,-1
2168,KAISA PROSPER,4328520000.0,8564.0,金融,HKEX,房地产开发,0.00470788,16.94608612,22.37095319,2.9164686,-1,-1,-1
1931,IVD MEDICAL,4301110000.0,,配送服务,HKEX,医疗分销商,0.14751816,23.64312268,5.51175249,1.24454533,-1,-1,-1
2686,AAG ENERGY,4275910000.0,487.0,能源矿产,HKEX,石油和天然气生产,0.00957348,7.48663102,8.39699022,0.60501877,-1,-1,-1
182,CONCORD NE,4269490000.0,1619.0,工业服务,HKEX,工程建设,1.48222204,5.89569161,10.58999382,0.56091299,-1,-1,-1
808,PROSPERITY REIT,4233979999.999999,,其他,HKEX,投资信托/互惠基金,0.30864278,,-10.8101483,0.55769631,-1,-1,-1
2369,COOLPAD GROUP,4212939999.999999,,电子科技,HKEX,电信设备,0.4107736,,-33.76189762,,-1,-1,-1
1198,ROYALE HOME,4209670000.0,1313.0,耐用消费品,HKEX,家居装修,0.30770207,5.88876772,29.48592686,1.46627566,-1,-1,-1
3382,TIANJINPORT DEV,4187439999.999999,7637.0,运输,HKEX,其他运输,0.47744122,6.58276864,4.95632333,0.31058454,-1,-1,-1
