商品代码,说明,市场价值,员工数量,部门,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),RSI(14),accums,currents
002981,朝阳科技,2387520081.0,2997.0,耐用消费品,SZSE,电子/电器,0.1230969,52.37995156,7.08496523,2.85699199,50.30982498,5,-2
300176,派生科技,2765185023.0,2725.0,制造业,SZSE,汽车零件：OEM,0.43862451,72.93156282,4.16000053,2.95940149,50.3116744,7,-1
000718,苏宁环球,22002363778.0,777.0,金融,SZSE,房地产开发,0.32213068,20.98506681,12.21700024,2.61191961,50.32418229,3,2
603917,合力科技,1466080088.0,698.0,制造业,SSE,金属加工,0.00508582,21.13471971,6.83067369,1.42515715,50.33102024,2,2
603012,创力集团,3946671863.0,1783.0,制造业,SSE,工业机械,0.23713949,10.66574918,13.14591262,1.35359948,50.34146368,2,4
688665,四方光电,7910000000.0,666.0,制造业,SSE,工业机械,0.04490782,,44.68710865,35.68259542,50.34275924,4,0
002848,高斯贝尔,1547808982.0,1609.0,电子科技,SZSE,电信设备,0.31566787,,-73.43468318,4.39353969,50.35787521,3,-2
600648,外高桥,15257824557.6372,2815.0,金融,SSE,房地产开发,1.49657045,17.88656716,8.67519391,1.55216111,50.36162272,6,1
600295,鄂尔多斯,22739806620.3468,21222.0,加工制造业,SSE,纺织品,0.92566407,12.4872752,15.55546002,1.92654019,50.36802471,8,-3
002836,新宏泽,1406399994.0,237.0,商业服务,SZSE,商业印刷/表格,0.117293,46.88,7.59115732,3.52416196,50.38590672,6,1
603665,康隆达,2298828959.0,2243.0,非耐用消费品,SSE,服装/鞋类,0.82437789,25.24888431,8.21071585,2.12030229,50.3899171,5,-1
002272,川润股份,2300435291.0,1423.0,制造业,SZSE,工业机械,0.43582566,26.05495584,6.42652986,1.63135645,50.40801487,8,-5
600057,厦门象屿,13509794610.0,5799.0,运输,SSE,其他运输,1.99299493,10.40092014,12.56895868,1.23211919,50.41114966,6,-1
300363,博腾股份,39635218925.0,2635.0,健康科技,SZSE,药品：其他,0.20406039,110.51530695,11.05007643,11.84099523,50.42597088,2,-4
600900,长江电力,460977499942.0,3985.0,公用事业,SSE,发电厂,0.53152518,17.01359745,16.44872437,2.67826234,50.46081529,2,-2
688321,微芯生物,16953499374.0,669.0,健康科技,SSE,药品:专业,0.07925608,914.8229646,1.25713398,11.34900823,50.46686524,3,-2
600535,天士力,21387030966.0,9284.0,健康科技,SSE,药品:专业,0.21281371,18.54796663,9.73244744,1.78635092,50.48666893,2,1
002451,摩恩电气,2832839995.0,152.0,制造业,SZSE,电子设备,0.46345917,145.59819413,2.78982309,4.01899207,50.49166535,5,-1
601088,中国神华,371328012852.2265,76182.0,能源矿产,SSE,煤炭,0.14642148,9.66521106,11.16229653,1.09881442,50.49498226,13,5
